config,config_label,repeat,stage_label,stage,average_ms,median_ms,p95_ms,retained_samples
C3_drop114_lidar,C3 缺前雷达,repeat_01,IVox 加点,IVox Add Points,0.078203,0.067874,0.147269,1082
C3_drop114_lidar,C3 缺前雷达,repeat_01,增量建图,Incremental Mapping,0.345526,0.333718,0.45762,1082
C3_drop114_lidar,C3 缺前雷达,repeat_01,激光观测匹配,ObsModel (Lidar Match),2.78797,2.62765,3.80831,2000
C3_drop114_lidar,C3 缺前雷达,repeat_01,点云预处理,Preprocess (Standard),0.232979,0.099011,0.537484,2000
C3_drop114_lidar,C3 缺前雷达,repeat_01,点云去畸变,Undistort Pcl,0.899505,0.903505,0.972024,1083
C3_drop114_lidar,C3 缺前雷达,repeat_02,IVox 加点,IVox Add Points,0.093437,0.081453,0.178458,1082
C3_drop114_lidar,C3 缺前雷达,repeat_02,增量建图,Incremental Mapping,0.373416,0.356138,0.498985,1082
C3_drop114_lidar,C3 缺前雷达,repeat_02,激光观测匹配,ObsModel (Lidar Match),2.74897,2.61875,3.73065,2000
C3_drop114_lidar,C3 缺前雷达,repeat_02,点云预处理,Preprocess (Standard),0.23907,0.102609,0.555705,2000
C3_drop114_lidar,C3 缺前雷达,repeat_02,点云去畸变,Undistort Pcl,0.926581,0.927043,1.03084,1083
C3_drop114_lidar,C3 缺前雷达,repeat_03,IVox 加点,IVox Add Points,0.0959535,0.081797,0.190291,1082
C3_drop114_lidar,C3 缺前雷达,repeat_03,增量建图,Incremental Mapping,0.375109,0.357727,0.522552,1082
C3_drop114_lidar,C3 缺前雷达,repeat_03,激光观测匹配,ObsModel (Lidar Match),2.75083,2.63428,3.60957,2000
C3_drop114_lidar,C3 缺前雷达,repeat_03,点云预处理,Preprocess (Standard),0.24346,0.107231,0.557256,2000
C3_drop114_lidar,C3 缺前雷达,repeat_03,点云去畸变,Undistort Pcl,0.928496,0.932747,1.02328,1083
C4_drop127,C4 缺右雷达,repeat_01,IVox 加点,IVox Add Points,0.0883591,0.075869,0.152596,1082
C4_drop127,C4 缺右雷达,repeat_01,增量建图,Incremental Mapping,0.37517,0.363989,0.495068,1082
C4_drop127,C4 缺右雷达,repeat_01,激光观测匹配,ObsModel (Lidar Match),2.91591,2.76234,4.04873,2000
C4_drop127,C4 缺右雷达,repeat_01,点云预处理,Preprocess (Standard),0.233018,0.098907,0.533631,2000
C4_drop127,C4 缺右雷达,repeat_01,点云去畸变,Undistort Pcl,0.872533,0.870644,0.939285,1083
C4_drop127,C4 缺右雷达,repeat_02,IVox 加点,IVox Add Points,0.093891,0.080646,0.169685,1082
C4_drop127,C4 缺右雷达,repeat_02,增量建图,Incremental Mapping,0.382699,0.367454,0.502871,1082
C4_drop127,C4 缺右雷达,repeat_02,激光观测匹配,ObsModel (Lidar Match),2.86986,2.75035,3.82772,2000
C4_drop127,C4 缺右雷达,repeat_02,点云预处理,Preprocess (Standard),0.231462,0.098653,0.524654,2000
C4_drop127,C4 缺右雷达,repeat_02,点云去畸变,Undistort Pcl,0.872293,0.870447,0.932991,1083
C4_drop127,C4 缺右雷达,repeat_03,IVox 加点,IVox Add Points,0.09664,0.084111,0.170679,1082
C4_drop127,C4 缺右雷达,repeat_03,增量建图,Incremental Mapping,0.399131,0.387448,0.539487,1082
C4_drop127,C4 缺右雷达,repeat_03,激光观测匹配,ObsModel (Lidar Match),3.12158,2.98662,4.19908,2000
C4_drop127,C4 缺右雷达,repeat_03,点云预处理,Preprocess (Standard),0.24847,0.103833,0.582604,2000
C4_drop127,C4 缺右雷达,repeat_03,点云去畸变,Undistort Pcl,0.915403,0.918514,1.02785,1083
C5_drop187,C5 缺左雷达,repeat_01,IVox 加点,IVox Add Points,0.106983,0.096941,0.198462,1082
C5_drop187,C5 缺左雷达,repeat_01,增量建图,Incremental Mapping,0.402129,0.392608,0.533722,1082
C5_drop187,C5 缺左雷达,repeat_01,激光观测匹配,ObsModel (Lidar Match),3.19149,3.01817,4.38603,2000
C5_drop187,C5 缺左雷达,repeat_01,点云预处理,Preprocess (Standard),0.233529,0.100896,0.530078,2000
C5_drop187,C5 缺左雷达,repeat_01,点云去畸变,Undistort Pcl,0.878283,0.878545,0.947764,1083
C5_drop187,C5 缺左雷达,repeat_02,IVox 加点,IVox Add Points,0.120482,0.105006,0.226316,1082
C5_drop187,C5 缺左雷达,repeat_02,增量建图,Incremental Mapping,0.424708,0.408441,0.584672,1082
C5_drop187,C5 缺左雷达,repeat_02,激光观测匹配,ObsModel (Lidar Match),3.04689,2.93428,3.95921,2000
C5_drop187,C5 缺左雷达,repeat_02,点云预处理,Preprocess (Standard),0.230189,0.096421,0.532986,2000
C5_drop187,C5 缺左雷达,repeat_02,点云去畸变,Undistort Pcl,0.891772,0.887225,0.980869,1083
C5_drop187,C5 缺左雷达,repeat_03,IVox 加点,IVox Add Points,0.100234,0.090021,0.18946,1082
C5_drop187,C5 缺左雷达,repeat_03,增量建图,Incremental Mapping,0.395115,0.383953,0.528914,1082
C5_drop187,C5 缺左雷达,repeat_03,激光观测匹配,ObsModel (Lidar Match),3.21086,3.026,4.44177,2000
C5_drop187,C5 缺左雷达,repeat_03,点云预处理,Preprocess (Standard),0.229832,0.09835,0.527849,2000
C5_drop187,C5 缺左雷达,repeat_03,点云去畸变,Undistort Pcl,0.87478,0.876771,0.942088,1083
C6_drop195,C6 缺后雷达,repeat_01,IVox 加点,IVox Add Points,0.091123,0.077379,0.158576,1082
C6_drop195,C6 缺后雷达,repeat_01,增量建图,Incremental Mapping,0.375623,0.360847,0.48628,1082
C6_drop195,C6 缺后雷达,repeat_01,激光观测匹配,ObsModel (Lidar Match),2.85029,2.74362,3.80877,2000
C6_drop195,C6 缺后雷达,repeat_01,点云预处理,Preprocess (Standard),0.232648,0.098205,0.527881,2000
C6_drop195,C6 缺后雷达,repeat_01,点云去畸变,Undistort Pcl,0.887597,0.889051,0.957949,1083
C6_drop195,C6 缺后雷达,repeat_02,IVox 加点,IVox Add Points,0.0991219,0.085392,0.172518,1082
C6_drop195,C6 缺后雷达,repeat_02,增量建图,Incremental Mapping,0.392482,0.376895,0.511554,1082
C6_drop195,C6 缺后雷达,repeat_02,激光观测匹配,ObsModel (Lidar Match),2.95056,2.84795,3.81824,2000
C6_drop195,C6 缺后雷达,repeat_02,点云预处理,Preprocess (Standard),0.237175,0.099593,0.551193,2000
C6_drop195,C6 缺后雷达,repeat_02,点云去畸变,Undistort Pcl,0.90904,0.901691,1.00522,1083
C6_drop195,C6 缺后雷达,repeat_03,IVox 加点,IVox Add Points,0.088423,0.07238,0.172954,1082
C6_drop195,C6 缺后雷达,repeat_03,增量建图,Incremental Mapping,0.376211,0.359664,0.509454,1082
C6_drop195,C6 缺后雷达,repeat_03,激光观测匹配,ObsModel (Lidar Match),3.00761,2.86573,4.13393,2000
C6_drop195,C6 缺后雷达,repeat_03,点云预处理,Preprocess (Standard),0.232711,0.098739,0.529837,2000
C6_drop195,C6 缺后雷达,repeat_03,点云去畸变,Undistort Pcl,0.887631,0.890877,0.955007,1083
