config,config_label,wall_time_s_median,wall_time_s_min,wall_time_s_max,peak_rss_mib_median,peak_rss_mib_min,peak_rss_mib_max,average_cpu_cores_median,average_cpu_cores_min,average_cpu_cores_max,cpu_pct_of_8_core_allocation_median,cpu_pct_of_8_core_allocation_min,cpu_pct_of_8_core_allocation_max
C0_single114_noise,C0 单雷达,77.63,76.52,105.61,837.06640625,837.0078125,837.1484375,0.75,0.54,0.75,9.375,6.75,9.375
C1_four_noise,C1 四雷达主方案,144.74,141.66,146.28,3181.73828125,3181.1796875,3182.19921875,1.13,1.13,1.16,14.125,14.125,14.5
C2_four_no_noise,C2 四雷达无噪声模型,146.99,138.81,153.11,3906.171875,3905.87109375,3906.3984375,1.09,1.03,1.16,13.625,12.875,14.5
C3_drop114_lidar,C3 缺前雷达,131.9,106.44,135.33,2174.81640625,2172.421875,2174.98828125,0.99,0.97,1.23,12.375,12.125,15.375
C4_drop127,C4 缺右雷达,117.96000000000001,117.94,127.8,2013.99609375,2008.8046875,2017.15234375,1.14,1.05,1.15,14.25,13.125,14.375
C5_drop187,C5 缺左雷达,125.72,112.85,136.79,2390.93359375,2382.78515625,2392.86328125,1.14,1.04,1.26,14.25,13.0,15.75
C6_drop195,C6 缺后雷达,117.92,106.15,136.49,2041.62890625,2038.75,2041.92578125,1.14,0.99,1.26,14.25,12.375,15.75
